Cites,Authors,Title,Year,keywords,Affiliations,PapersNum
1,K El Hindi,Lazy fine-tuning algorithms for naïve Bayesian text classification,2020,"a Fine-tuning Naïve Bayes,z Document categorization,Local learning,Multinomial text classification,Complement NB,One-versus-all NB",King Saud University,
0,K El Hindi,Improved Distance Functions for Instance-Based Text Classification,2020,"Proper Noun ,Sentence Pair,Parallel Corpus ,Short Vowel ,Arabic Word",King Saud University,
0,K El Hindi,Error-Based Noise Filtering During Neural Network Training,2020,"Neural networks , convolutional neural networks , noisy data , semi-supervised learning",King Saud University,
17,K El Hindi,Dynamic flying ant colony optimization (DFACO) for solving the traveling salesman problem,2019,"traveling salesman problem (TSP), ant colony optimization (ACO), flying ant colony optimization (FACO), dynamic flying ant colony optimization (DFACO)",King Saud University,
2,K El Hindi,Cost-Sensitive Prediction of Stock Price Direction: Selection of Technical Indicators,2019," Cost-sensitive, feature selection, machine learning, market trend, prediction, stock market, technical indicators",King Saud University,
15,K El Hindi,Using differential evolution for improving distance measures of nominal values,2018,"Instance-based learning, Distance measure, Value difference metric, Inverted specific-class distance measure, Multi-parent differential evolution, Genetic algorithm ,Simulated annealing",King Saud University,
11,K El Hindi,Building an ensemble of fine-tuned naive Bayesian classifiers for text classification,2018,text classification; ensembles of classifiers; naive Bayesian learning; fine-tuning naive Bayesian algorithm; machine learning,King Saud University,
2,K El Hindi,Combining instance weighting and fine tuning for training naïve bayesian classifiers with scanttrainingdata.,2018,"Naïve bayesian algorithm, classification, machine learning, noisy data sets, instance weighting",King Saud University,
73,K El Hindi,Using differential evolution for fine tuning naïve Bayesian classifiers and its application for text classification,2017,"Fine tuning Naïve Bayes, Differential evolution,Text classification, Improving estimated probabilities, Multi-parent mutation, Multi-parent crossover,Genetic algorithm,Simulated annealing,Bernoulli NB, Multinomial NB",King Saud University,
19,K El Hindi,Enhanced artificial bee colony algorithm for QoS-aware web service selection problem,2017,"Service-Oriented Computing (SOC) , Web Service (WS), Web Service Selection (WSS), Artificial Bee Colony (ABC), Enhanced Artificial Bee Colony (EABC)",King Saud University,
6,K El Hindi,An adapted ant-inspired algorithm for enhancing Web service composition,2017,"Ant Colony Optimization (ACO), Flying Ant Colony Optimization (FACO), Service-Oriented Computing (SOC), Web Service (WS), Web Service Composition (WSC)",King Saud University,
3,K El Hindi,Comparing the machine ability to recognize hand-written Hindu and Arabic digits,2017," Hand-written digit recognition, feature extraction, Instance-based learning, neural network , Bayesian classifiers",King Saud University,
18,K El Hindi,Selectively fine-tuning Bayesian network learning algorithm,2016,"Bayesian Network (BN), Naive Bayes (NB), Tree Augmented Naive Bayes (TAN), Bayesian network Augmented Naive Bayes (BAN)",King Saud University,
9,K El Hindi,Partial instance reduction for noise elimination,2016,"Noise filtering, Instance-Based Learning, Instance reduction, Overfitting, Outlier elimination",King Saud University,
